Farmer_ID,Farm_Size_ha,Land_Tenure_Type,Farmer_Age,Education_Level,Gender,Potential_Carbon_Credits_tCO2e,Standalone_Payoff_INR,True_Cost_per_Credit_INR,Certification_Cost_Individual_INR,Debt_Status,Water_Usage_m3,Soil_Organic_Carbon_t_per_ha,Crop_Type,Crop_Yield_t_per_ha,Market_Access,Economic_Vulnerability_Score,Previous_Coalition_Experience,Farm_Location_State,Farm_Location_District,Risk_Aversion_Coeff
F00017,0.66,Owned,22,None,Male,3.55,18900.0,1000.0,4600.0,No,3360.85,2.83,Rice,3.52,Easy,65.23,Yes,Andhra Pradesh,13,1.29
F00018,4.68,Owned,53,None,Male,4.26,21800.0,3300.0,4700.0,No,1385.85,2.46,Sugarcane,8.7,Moderate,31.3,No,Andhra Pradesh,47,3.05
F00019,2.24,Leased,40,Secondary,Female,0.99,17400.0,2200.0,7900.0,No,2000.03,1.37,Millets,5.15,Difficult,43.83,No,Telangana,16,1.45
F00020,0.92,Owned,27,Secondary,Female,6.35,13900.0,1300.0,6300.0,No,1181.94,2.33,Millets,3.44,Moderate,20.64,No,Tamil Nadu,46,1.27
F00021,7.24,Owned,21,Primary,Male,3.35,17200.0,1700.0,4700.0,Yes,2322.18,1.94,Millets,3.16,Difficult,1.92,No,Andhra Pradesh,9,4.24
F00022,1.03,Owned,66,Primary,Male,3.21,19600.0,2500.0,7200.0,Yes,2931.61,1.45,Cotton,3.56,Moderate,11.93,Yes,Karnataka,31,3.29
F00023,2.19,Owned,39,Primary,Male,12.15,24300.0,2900.0,4800.0,No,2194.74,2.3,Rice,4.42,Difficult,35.67,No,Karnataka,45,0.48
F00024,1.42,Owned,28,Higher,Female,5.14,15800.0,3200.0,6400.0,No,4316.72,0.52,Sugarcane,2.55,Moderate,36.09,No,Karnataka,14,0.7
F00025,3.25,Owned,59,None,Male,11.16,14400.0,2900.0,8200.0,Yes,3659.94,2.23,Sugarcane,5.27,Moderate,12.42,Yes,Andhra Pradesh,5,1.92
F00026,1.23,Owned,63,Primary,Male,5.88,19600.0,2200.0,4900.0,No,8040.81,1.23,Maize,3.24,Moderate,15.87,Yes,Tamil Nadu,25,1.54
F00027,2.0,Owned,22,Higher,Male,0.91,14300.0,1300.0,6500.0,No,6639.18,2.16,Rice,5.88,Difficult,45.0,No,Andhra Pradesh,31,2.09
F00028,1.96,Leased,62,Secondary,Female,2.1,18200.0,2300.0,8400.0,No,3456.69,0.96,Rice,1.48,Difficult,83.87,Yes,Telangana,28,1.63
F00029,0.67,Owned,29,Secondary,Male,2.12,17600.0,2900.0,6900.0,No,6934.3,2.61,Cotton,3.47,Moderate,40.8,No,Kerala,25,1.06
F00030,1.21,Owned,21,Secondary,Male,3.35,15300.0,1600.0,6000.0,No,1382.64,0.58,Rice,3.86,Moderate,43.07,Yes,Telangana,6,1.56
F00031,3.38,Owned,45,Primary,Female,5.82,22200.0,2000.0,7200.0,No,1972.18,2.27,Cotton,4.25,Moderate,25.54,Yes,Andhra Pradesh,26,1.2
F00032,3.07,Leased,63,Higher,Female,0.66,26800.0,4400.0,8500.0,No,6649.24,2.94,Rice,2.69,Moderate,16.37,Yes,Tamil Nadu,32,1.7
F00033,2.31,Leased,52,Primary,Male,4.51,23600.0,4800.0,7500.0,No,2189.45,0.8,Rice,5.61,Moderate,23.03,No,Telangana,35,1.22
F00034,2.44,Leased,27,Primary,Male,12.89,19600.0,2700.0,5100.0,No,4376.71,2.65,Maize,6.28,Moderate,22.12,No,Andhra Pradesh,20,1.42
F00035,2.97,Owned,50,Higher,Male,2.87,16100.0,2900.0,4100.0,Yes,1596.52,1.85,Maize,3.0,Easy,13.05,No,Tamil Nadu,21,0.52
F00036,5.18,Owned,21,None,Female,3.2,18900.0,2300.0,5200.0,Yes,3040.04,2.37,Rice,2.24,Easy,35.43,No,Kerala,9,1.61
F00037,1.18,Owned,57,Primary,Male,4.3,24800.0,1400.0,6900.0,No,250.54,2.71,Cotton,4.4,Moderate,31.71,No,Tamil Nadu,10,1.82
F00038,3.05,Owned,54,None,Female,6.13,23200.0,4500.0,5900.0,No,4809.36,0.74,Maize,4.46,Easy,20.97,No,Tamil Nadu,6,1.41
F00039,3.08,Mixed,23,None,Female,4.3,8500.0,800.0,5400.0,No,3616.47,1.82,Cotton,5.04,Moderate,39.77,Yes,Tamil Nadu,4,4.18
F00040,3.36,Owned,72,Secondary,Male,1.39,19000.0,3600.0,6500.0,Yes,1037.17,2.99,Rice,5.46,Difficult,23.01,No,Tamil Nadu,31,1.87
F00041,2.33,Owned,26,None,Female,0.81,20000.0,4100.0,8100.0,No,758.51,1.41,Cotton,3.84,Moderate,25.65,Yes,Karnataka,24,2.05
F00042,1.63,Owned,36,Secondary,Female,6.53,16700.0,1700.0,4700.0,No,3764.06,0.99,Wheat,7.92,Moderate,18.21,Yes,Kerala,11,2.41
F00043,1.02,Leased,28,Primary,Male,4.88,17900.0,1200.0,5000.0,No,2072.98,1.29,Millets,4.11,Moderate,42.33,No,Andhra Pradesh,33,2.69
F00044,1.93,Mixed,46,Higher,Male,6.31,16800.0,1400.0,5900.0,Yes,3366.74,2.48,Millets,4.74,Moderate,17.36,Yes,Kerala,5,3.78
F00045,6.7,Owned,54,Higher,Male,3.12,22200.0,2700.0,7200.0,No,1826.68,0.97,Millets,5.35,Moderate,21.25,No,Telangana,18,0.93
F00046,2.74,Owned,60,None,Female,3.33,15000.0,3200.0,4100.0,No,4096.79,1.18,Rice,1.58,Easy,38.99,No,Telangana,5,3.49
F00047,8.86,Leased,47,None,Male,3.12,21900.0,1900.0,7500.0,No,1174.05,0.59,Maize,6.52,Moderate,23.07,No,Karnataka,27,1.9
F00048,4.09,Owned,65,Secondary,Female,3.21,27000.0,1300.0,5400.0,No,789.84,0.91,Rice,5.51,Difficult,14.28,No,Tamil Nadu,28,2.68
F00049,1.1,Owned,24,Secondary,Male,1.39,24100.0,4300.0,4300.0,No,6206.38,2.88,Maize,3.32,Easy,48.18,Yes,Karnataka,3,0.85
F00050,7.04,Owned,20,Higher,Male,5.6,27100.0,2700.0,7700.0,No,3907.69,0.5,Rice,5.63,Easy,6.57,Yes,Karnataka,36,2.06
F00051,0.52,Leased,38,Higher,Male,5.1,16700.0,3800.0,7800.0,Yes,1785.7,2.51,Rice,3.09,Easy,40.15,Yes,Tamil Nadu,47,1.31
F00052,0.21,Owned,61,Primary,Male,0.46,20800.0,2000.0,5300.0,No,2344.39,2.36,Rice,5.06,Easy,44.07,No,Telangana,14,1.39
F00053,1.96,Leased,63,Primary,Male,2.51,24100.0,2700.0,8500.0,Yes,2357.85,2.0,Cotton,6.53,Moderate,25.76,No,Kerala,10,2.95
F00054,0.87,Leased,43,Primary,Male,4.97,21900.0,1600.0,7100.0,Yes,4015.31,0.85,Millets,6.25,Easy,49.05,No,Kerala,38,2.1
F00055,8.49,Leased,23,Primary,Female,4.36,21300.0,2200.0,8800.0,No,5101.98,1.81,Maize,3.82,Difficult,19.99,No,Kerala,40,2.57
F00056,5.8,Mixed,49,None,Male,2.15,16900.0,1400.0,4400.0,No,1445.71,2.64,Sugarcane,5.72,Moderate,41.01,No,Telangana,47,3.7
F00057,0.53,Owned,27,Primary,Male,10.13,24600.0,1800.0,5100.0,Yes,3150.34,0.96,Sugarcane,3.01,Moderate,38.07,Yes,Andhra Pradesh,11,1.12
F00058,4.48,Leased,34,Higher,Female,6.96,23100.0,2900.0,6800.0,No,1138.06,1.57,Wheat,4.07,Easy,49.44,No,Andhra Pradesh,9,1.85
F00059,1.42,Leased,46,Higher,Male,3.2,25000.0,3000.0,7100.0,No,3921.18,1.51,Wheat,4.71,Moderate,11.13,No,Tamil Nadu,6,1.33
F00060,7.67,Owned,53,Secondary,Male,6.71,19300.0,3100.0,6100.0,Yes,1138.48,2.97,Sugarcane,3.09,Difficult,42.84,Yes,Tamil Nadu,29,1.62
F00061,1.79,Mixed,41,Primary,Male,3.28,19500.0,1700.0,8200.0,No,1916.48,1.9,Rice,3.5,Difficult,38.68,Yes,Karnataka,3,3.03
F00062,2.07,Owned,44,Primary,Male,3.14,18100.0,1200.0,8200.0,Yes,2989.31,2.09,Sugarcane,6.58,Moderate,19.11,No,Kerala,23,0.75
F00063,7.71,Owned,42,None,Male,4.48,26400.0,2300.0,7600.0,No,3250.47,2.42,Wheat,3.62,Easy,28.83,No,Telangana,34,2.5
F00064,2.65,Owned,56,Higher,Male,8.03,16900.0,3900.0,6100.0,Yes,4304.7,1.99,Sugarcane,4.58,Moderate,45.85,Yes,Andhra Pradesh,9,1.8
F00065,5.37,Leased,36,None,Female,9.84,23100.0,3600.0,6500.0,No,886.79,1.22,Cotton,5.87,Difficult,41.03,Yes,Telangana,20,1.82
F00066,4.62,Owned,53,Secondary,Female,1.12,21600.0,3300.0,8500.0,Yes,1254.91,0.81,Rice,6.03,Moderate,4.62,Yes,Karnataka,6,1.08
F00067,2.53,Owned,33,Higher,Female,4.26,16200.0,4500.0,4600.0,No,1169.29,1.04,Rice,5.62,Moderate,2.38,No,Andhra Pradesh,43,1.81
F00068,4.92,Owned,48,None,Male,10.29,25900.0,4300.0,8700.0,No,1491.76,2.01,Rice,4.48,Easy,21.1,Yes,Telangana,4,1.17
F00069,0.46,Leased,22,Primary,Male,2.78,17300.0,1100.0,5200.0,Yes,833.68,2.33,Rice,6.2,Moderate,25.82,Yes,Tamil Nadu,17,2.29
F00070,0.64,Leased,43,Primary,Male,5.23,27300.0,4300.0,4100.0,No,6848.58,2.72,Rice,4.89,Moderate,43.78,No,Kerala,26,0.74
F00071,3.83,Leased,28,Secondary,Female,2.03,15500.0,4300.0,5900.0,Yes,2753.56,1.66,Rice,5.96,Easy,26.68,No,Kerala,41,1.01
F00072,3.86,Mixed,22,Secondary,Male,9.74,19000.0,2900.0,7400.0,Yes,796.2,0.66,Sugarcane,3.62,Moderate,17.59,No,Kerala,7,2.98
F00073,1.59,Owned,22,None,Male,5.87,7900.0,4500.0,6100.0,No,6516.56,2.87,Sugarcane,3.26,Easy,44.65,No,Telangana,41,0.82
F00074,3.62,Leased,55,None,Female,5.4,28800.0,2900.0,4000.0,Yes,1371.77,2.46,Rice,5.4,Difficult,21.13,Yes,Telangana,8,2.98
F00075,4.59,Owned,20,Higher,Female,4.01,16400.0,3400.0,5100.0,Yes,5330.43,2.5,Maize,3.27,Easy,35.65,No,Telangana,31,1.16
F00076,1.88,Leased,33,Primary,Male,2.76,27400.0,1100.0,5500.0,No,4397.98,2.76,Rice,5.33,Moderate,20.89,Yes,Kerala,5,2.63
F00077,6.01,Owned,45,Higher,Male,1.89,17300.0,5500.0,8000.0,No,6074.35,2.18,Rice,4.72,Difficult,45.53,No,Tamil Nadu,1,1.56
F00078,4.71,Leased,73,Primary,Male,2.18,13400.0,2500.0,7400.0,Yes,8997.71,0.77,Rice,3.52,Easy,16.55,No,Andhra Pradesh,9,1.02
F00079,0.69,Owned,23,Secondary,Male,1.33,32000.0,1900.0,4500.0,No,1856.75,2.92,Maize,4.27,Moderate,19.36,Yes,Tamil Nadu,16,1.4
F00080,8.54,Owned,34,Primary,Male,6.73,23800.0,2100.0,4100.0,Yes,2183.64,2.07,Maize,3.9,Moderate,18.29,No,Karnataka,36,3.61
F00081,3.43,Owned,48,None,Female,1.71,25000.0,2700.0,8600.0,No,805.63,2.3,Maize,6.15,Moderate,36.05,No,Tamil Nadu,24,1.01
F00082,2.36,Owned,26,Secondary,Male,2.51,20200.0,4100.0,4700.0,No,3197.08,2.14,Maize,7.66,Moderate,30.19,No,Telangana,13,2.92
F00083,0.95,Owned,53,None,Male,9.3,21600.0,2800.0,7200.0,No,1493.88,1.75,Maize,5.38,Moderate,37.64,No,Andhra Pradesh,32,2.23
F00084,1.11,Leased,60,Secondary,Female,7.19,12200.0,2800.0,8100.0,Yes,5575.38,1.88,Maize,5.55,Easy,25.49,No,Tamil Nadu,26,2.7
F00085,8.86,Owned,23,None,Male,3.79,19300.0,4700.0,7800.0,No,5165.02,1.55,Sugarcane,5.98,Easy,64.27,No,Tamil Nadu,27,2.32
F00086,1.78,Owned,52,Secondary,Male,6.9,13100.0,1900.0,7800.0,Yes,3418.78,1.63,Millets,7.28,Easy,33.94,No,Kerala,35,0.79
F00087,2.71,Owned,57,None,Male,8.91,18700.0,3700.0,8600.0,Yes,5066.94,1.17,Rice,4.32,Easy,20.75,No,Tamil Nadu,22,2.41
F00088,2.22,Mixed,32,Primary,Male,3.01,16200.0,4800.0,7500.0,Yes,2814.64,2.22,Rice,4.8,Moderate,31.5,No,Tamil Nadu,27,2.83
F00089,4.0,Owned,30,Secondary,Female,10.39,14800.0,5400.0,8400.0,Yes,3659.23,3.0,Cotton,3.85,Difficult,43.38,No,Tamil Nadu,49,3.65
F00090,0.96,Leased,52,Secondary,Male,4.62,23100.0,2600.0,6100.0,Yes,12582.23,2.99,Rice,3.48,Moderate,15.35,No,Telangana,48,3.28
F00091,4.49,Mixed,57,Secondary,Male,7.88,23800.0,3000.0,7700.0,No,2560.07,0.89,Wheat,2.81,Moderate,28.81,Yes,Tamil Nadu,21,1.51
F00092,2.48,Owned,23,Primary,Male,2.88,23300.0,2000.0,7900.0,Yes,974.19,2.09,Rice,2.72,Moderate,34.23,No,Telangana,34,4.13
F00093,4.17,Mixed,44,Primary,Female,1.63,19300.0,3000.0,5600.0,Yes,2190.97,0.73,Rice,6.37,Difficult,4.57,Yes,Karnataka,17,1.8
F00094,3.72,Owned,63,Primary,Male,1.55,20800.0,3300.0,8400.0,No,1027.53,1.5,Rice,5.48,Difficult,20.95,No,Karnataka,16,3.44
F00095,0.59,Leased,40,Higher,Male,4.65,18200.0,1700.0,4700.0,Yes,1910.34,2.53,Rice,5.28,Easy,15.05,No,Tamil Nadu,42,1.31
F00096,1.46,Leased,24,Primary,Male,0.67,14400.0,3200.0,4300.0,Yes,3325.45,1.71,Wheat,3.89,Easy,47.61,No,Tamil Nadu,39,1.31
F00097,0.65,Owned,30,Secondary,Male,5.45,23300.0,4300.0,4400.0,No,4566.93,1.53,Wheat,6.29,Easy,21.29,No,Tamil Nadu,47,2.98
F00098,1.23,Owned,62,None,Male,3.94,18700.0,1400.0,5100.0,Yes,655.88,2.17,Rice,5.27,Moderate,21.38,Yes,Karnataka,43,0.97
F00099,2.96,Mixed,54,Higher,Male,2.02,27000.0,2300.0,4200.0,No,2011.77,2.48,Millets,4.19,Moderate,37.71,Yes,Karnataka,28,3.61
F00100,2.37,Owned,73,Secondary,Female,5.88,18600.0,2800.0,6200.0,No,5694.91,1.14,Maize,4.95,Moderate,10.77,Yes,Karnataka,5,2.28
F00101,5.94,Owned,28,None,Male,2.03,12000.0,5500.0,5700.0,Yes,530.82,2.19,Sugarcane,3.97,Easy,23.75,No,Kerala,17,2.55
F00102,3.1,Owned,50,Higher,Male,6.5,13100.0,4500.0,6100.0,Yes,4642.71,0.86,Wheat,3.89,Moderate,49.63,No,Tamil Nadu,39,3.86
F00103,2.22,Leased,41,None,Male,7.97,22500.0,1900.0,8700.0,No,1501.99,1.04,Cotton,6.84,Moderate,49.47,No,Telangana,33,1.11
F00104,2.75,Leased,52,None,Male,1.3,12700.0,1800.0,8200.0,No,8192.05,1.32,Rice,5.36,Easy,52.64,No,Tamil Nadu,25,1.85
F00105,0.83,Owned,42,Primary,Male,2.02,19600.0,1300.0,7600.0,No,6354.73,2.53,Rice,6.02,Moderate,24.62,No,Tamil Nadu,49,1.24
F00106,3.86,Owned,48,None,Female,6.21,24900.0,2900.0,5500.0,Yes,2792.23,0.79,Rice,3.93,Moderate,53.15,No,Andhra Pradesh,22,1.35
F00107,2.94,Mixed,68,Primary,Male,1.71,21700.0,2100.0,5100.0,No,1128.58,1.76,Sugarcane,5.32,Easy,24.89,No,Tamil Nadu,49,1.3
F00108,1.07,Owned,46,Primary,Female,6.56,22700.0,3300.0,6100.0,Yes,1069.09,0.55,Rice,1.61,Difficult,31.05,No,Kerala,25,2.2
F00109,1.15,Owned,24,None,Female,1.93,12200.0,1800.0,7800.0,No,2763.96,1.86,Cotton,3.86,Moderate,32.25,No,Karnataka,37,1.38
F00110,2.29,Mixed,39,None,Male,4.23,27500.0,2400.0,4300.0,Yes,1499.28,1.93,Cotton,5.67,Moderate,42.57,Yes,Karnataka,15,4.37
F00111,4.24,Owned,55,Secondary,Male,11.64,18700.0,2600.0,6000.0,No,5518.24,1.92,Wheat,5.89,Easy,39.97,Yes,Karnataka,16,0.44
F00112,1.76,Owned,61,Secondary,Male,1.51,28100.0,5700.0,8500.0,Yes,3726.8,1.65,Rice,5.34,Easy,29.73,Yes,Kerala,33,2.36
F00113,3.27,Leased,25,Primary,Male,1.19,14800.0,2000.0,4500.0,Yes,9460.7,1.66,Rice,3.26,Moderate,64.59,No,Telangana,22,2.09
F00114,2.64,Owned,23,Secondary,Male,4.11,22800.0,9200.0,7100.0,No,1371.69,0.96,Wheat,5.61,Moderate,5.23,Yes,Telangana,5,4.76
F00115,4.87,Mixed,57,Primary,Male,5.8,12500.0,4200.0,4200.0,Yes,2900.74,1.32,Maize,7.73,Moderate,29.9,Yes,Kerala,13,1.35
F00116,1.17,Mixed,40,Primary,Male,7.68,15300.0,3200.0,6000.0,Yes,2554.27,1.61,Wheat,5.14,Moderate,24.69,No,Telangana,14,3.66
F00117,1.85,Owned,45,Higher,Female,6.46,17800.0,1900.0,6000.0,No,2845.24,2.6,Cotton,3.34,Easy,3.29,No,Karnataka,35,2.85
F00118,3.18,Mixed,21,Secondary,Male,2.2,23100.0,3200.0,6400.0,No,746.48,1.98,Cotton,7.44,Moderate,26.29,Yes,Tamil Nadu,43,2.83
F00119,5.37,Owned,53,Secondary,Male,1.93,20000.0,2100.0,8000.0,No,8227.86,2.75,Wheat,4.0,Difficult,9.53,Yes,Kerala,33,1.03
F00120,1.93,Leased,62,Primary,Female,5.39,13000.0,4300.0,7600.0,No,4128.04,2.2,Maize,6.67,Moderate,31.72,No,Tamil Nadu,22,0.32
F00121,3.24,Owned,41,Higher,Male,2.32,20700.0,1600.0,8500.0,Yes,879.13,2.47,Sugarcane,4.41,Moderate,16.25,No,Tamil Nadu,47,1.62
F00122,7.98,Owned,50,Primary,Male,1.99,14000.0,4900.0,4700.0,No,2079.51,0.89,Cotton,2.36,Moderate,53.67,No,Andhra Pradesh,16,1.4
F00123,5.55,Mixed,21,None,Male,3.84,24500.0,2700.0,6900.0,Yes,6627.71,0.99,Maize,3.63,Easy,36.08,Yes,Kerala,35,2.21
F00124,2.99,Owned,49,Primary,Female,1.93,18200.0,4400.0,6900.0,No,4982.21,2.08,Millets,4.54,Moderate,31.29,No,Tamil Nadu,24,1.91
F00125,2.48,Owned,52,Primary,Male,3.35,14600.0,5400.0,6800.0,Yes,1515.11,2.35,Sugarcane,5.07,Difficult,9.35,No,Telangana,24,2.19
F00126,4.16,Owned,29,None,Male,12.33,21300.0,4700.0,6200.0,No,2373.58,2.52,Maize,2.69,Easy,52.18,No,Tamil Nadu,20,1.67
F00127,6.19,Owned,34,Higher,Male,9.24,21000.0,3100.0,7000.0,No,5682.59,2.75,Cotton,3.2,Moderate,82.12,No,Kerala,1,3.44
F00128,8.97,Leased,56,Secondary,Male,2.42,31700.0,2700.0,5800.0,Yes,3620.66,2.45,Wheat,5.34,Moderate,42.47,No,Karnataka,27,1.26
F00129,3.99,Owned,34,Secondary,Male,8.42,26500.0,1700.0,8900.0,Yes,902.12,2.78,Cotton,3.85,Moderate,41.03,No,Tamil Nadu,29,1.96
F00130,3.12,Leased,64,Primary,Male,8.43,22400.0,1400.0,6300.0,No,2748.51,1.13,Rice,4.79,Easy,24.24,No,Telangana,8,2.85
F00131,8.7,Owned,40,Secondary,Female,1.85,14000.0,2500.0,5800.0,Yes,4448.74,2.55,Rice,5.81,Moderate,10.17,Yes,Telangana,36,2.81
F00132,1.93,Owned,34,Secondary,Male,3.68,20200.0,2200.0,5000.0,No,5270.87,0.78,Rice,3.68,Moderate,32.52,Yes,Tamil Nadu,30,2.45
F00133,1.06,Mixed,69,Primary,Female,0.68,24500.0,4000.0,4700.0,No,3637.26,1.51,Wheat,6.64,Easy,27.68,Yes,Telangana,33,2.76
F00134,0.9,Owned,60,Primary,Male,3.88,17700.0,3400.0,6300.0,No,2113.28,2.4,Rice,6.05,Easy,5.68,No,Karnataka,25,3.74
F00135,0.37,Owned,63,None,Female,5.76,19100.0,2800.0,7000.0,No,2186.36,1.77,Rice,3.41,Easy,39.37,No,Karnataka,2,0.83
F00136,3.43,Owned,45,Secondary,Male,3.24,20900.0,3500.0,5900.0,Yes,1199.45,2.67,Rice,3.6,Difficult,15.75,No,Andhra Pradesh,2,1.09
F00137,1.42,Leased,27,Secondary,Male,7.11,11800.0,4300.0,6300.0,Yes,2577.9,1.61,Cotton,3.23,Moderate,15.6,No,Tamil Nadu,4,3.13
F00138,1.47,Leased,26,Primary,Male,7.48,26400.0,2800.0,5000.0,No,931.43,2.22,Millets,7.67,Moderate,32.3,Yes,Karnataka,47,3.41
F00139,2.01,Owned,55,Primary,Male,4.85,16100.0,2600.0,7000.0,No,3519.34,2.87,Maize,5.42,Moderate,39.27,No,Tamil Nadu,32,1.58
F00140,3.92,Owned,56,Higher,Male,0.91,20100.0,2200.0,5200.0,No,2713.23,1.49,Cotton,1.84,Easy,33.4,No,Kerala,1,1.58
F00141,3.95,Mixed,55,Primary,Male,3.57,20800.0,2300.0,8700.0,Yes,9142.63,0.6,Maize,2.12,Difficult,51.77,Yes,Tamil Nadu,20,1.1
F00142,3.06,Owned,26,Primary,Male,2.09,19300.0,2300.0,8800.0,Yes,6782.32,1.07,Cotton,4.84,Easy,45.36,Yes,Telangana,11,1.15
F00143,1.68,Mixed,26,Primary,Male,3.63,17000.0,4400.0,4300.0,No,5008.83,1.52,Sugarcane,3.08,Easy,21.8,No,Karnataka,25,0.67
F00144,2.77,Owned,29,None,Male,2.75,24800.0,2900.0,6900.0,No,2124.38,0.9,Rice,4.59,Moderate,19.41,Yes,Telangana,36,3.32
F00145,8.51,Owned,37,Secondary,Male,5.38,13700.0,1800.0,4400.0,Yes,2327.23,1.04,Millets,5.13,Moderate,27.98,No,Tamil Nadu,40,3.66
F00146,0.18,Owned,29,Primary,Male,3.56,23000.0,4200.0,5100.0,Yes,7013.73,1.69,Cotton,5.43,Moderate,19.86,Yes,Andhra Pradesh,32,2.48
F00147,0.89,Owned,46,Primary,Male,4.39,16700.0,1900.0,4800.0,Yes,1165.75,1.59,Millets,2.83,Moderate,39.68,No,Karnataka,7,4.18
F00148,3.47,Leased,41,None,Male,2.83,29800.0,900.0,4900.0,No,398.55,2.64,Sugarcane,5.43,Easy,37.51,No,Telangana,34,3.11
F00149,1.78,Leased,24,None,Male,2.73,20300.0,4400.0,7800.0,No,2455.01,0.82,Cotton,3.89,Moderate,60.26,No,Telangana,47,3.99
F00150,3.02,Owned,50,Primary,Male,4.77,17800.0,2700.0,9000.0,No,3879.98,1.31,Maize,4.12,Easy,44.94,No,Tamil Nadu,6,0.94
F00151,3.55,Owned,22,None,Male,4.43,19700.0,3700.0,6100.0,No,3908.42,2.45,Millets,5.94,Moderate,19.28,No,Karnataka,18,1.28
F00152,9.81,Leased,50,Primary,Female,8.07,23900.0,3800.0,6100.0,Yes,1719.13,0.68,Rice,4.45,Easy,6.82,No,Karnataka,42,1.33
F00153,1.64,Owned,72,Primary,Male,4.42,20500.0,1600.0,5800.0,No,1955.77,1.21,Wheat,3.25,Easy,16.65,No,Telangana,2,1.9
F00154,1.28,Owned,64,None,Female,11.36,23900.0,3400.0,7400.0,Yes,545.19,1.82,Wheat,8.36,Moderate,12.7,No,Kerala,32,1.54
F00155,1.25,Owned,36,Primary,Male,2.51,24000.0,3100.0,8500.0,Yes,848.54,0.53,Rice,3.45,Moderate,56.12,No,Tamil Nadu,12,1.48
F00156,3.06,Owned,23,Secondary,Female,4.79,16500.0,3300.0,6200.0,No,4758.52,1.31,Rice,3.98,Moderate,8.73,No,Tamil Nadu,2,2.51
F00157,1.13,Owned,48,Primary,Female,3.54,25500.0,1800.0,7300.0,Yes,2450.92,0.7,Rice,2.54,Moderate,30.6,No,Kerala,23,1.96
F00158,5.12,Owned,58,Secondary,Male,4.35,18000.0,1800.0,8100.0,Yes,4075.13,1.33,Rice,4.02,Moderate,20.84,No,Andhra Pradesh,8,1.41
F00159,3.95,Leased,42,None,Male,8.3,5000.0,1900.0,5800.0,No,693.67,2.11,Rice,6.02,Easy,36.39,No,Telangana,32,2.52
